name,military record.organization,military record.rank
"Lukes, William F.",U.S. Navy,Landsman
"Lummus, Jack",U.S. Marine Corps,First Lieutenant
"Lunt, Alphonso M.",U.S. Army,Sergeant
"Lutes, Franklin W.",U.S. Army,Corporal
"Luther, James H.",U.S. Army,Private
"Luty, Gotlieb",U.S. Army,Corporal
"Lyle, Alexander Gordon",U.S. Navy,Lieutenant Commander
"Lyman, Joel H.",U.S. Army,Quartermaster Sergeant
"Lyon, Frederick A.",U.S. Army,Corporal
"Lyons, Thomas",U.S. Navy,Seaman
"Lytle, Leonidas S.",U.S. Army,Sergeant
"Lytton, Jeptha L.",U.S. Army,Corporal
"Macarthur, Arthur",U.S. Army,First Lieutenant/Adjutant
"Machol, N/A",U.S. Army,Private
"Machon, James",U.S. Navy,Boy
"Mack, Alexander",U.S. Navy,Captain of the Top
"Mack, John",U.S. Navy,Seaman
"Mackie, John F.",U.S. Marine Corps,Corporal
"Macneal, Harry Lewis",U.S. Marine Corps,Private
"Madden, Michael",U.S. Army,Private
"Madden, William",U.S. Navy,Coal Heaver
"Maddin, Edward",U.S. Navy,Ordinary Seaman
"Madison, James",U.S. Army,Sergeant
"Madison, James Jonas",U.S. Navy,Lieutenant Commander
"Magee, John W.",U.S. Navy,Second Class Fireman
"Magee, William",U.S. Army,Drummer
"Mager, George Frederick",U.S. Navy,Apprentice First Class
"Mahers, Herbert",U.S. Army,Private
"Mahoney, Gregory",U.S. Army,Private
"Mahoney, Jeremiah",U.S. Army,Sergeant
"Mandy, Harry J.",U.S. Army,First Sergeant
"Mangam, Richard C.",U.S. Army,Private
"Manning, Henry J.",U.S. Navy,Quartermaster
"Manning, Joseph S.",U.S. Army,Private
"Marland, William",U.S. Army,First Lieutenant
"Marquette, Charles",U.S. Army,Sergeant
"Marsh, Albert",U.S. Army,Sergeant
"Marsh, Charles H.",U.S. Army,Private
"Marsh, George",U.S. Army,Sergeant
"Martin, Edward S.",U.S. Navy,Quartermaster
"Martin, Harry Linn",U.S. Marine Corps,First Lieutenant
"Martin, James",U.S. Marine Corps,Sergeant
"Martin, Patrick",U.S. Army,Sergeant
"Martin, Sylvester H.",U.S. Army,Lieutenant
"Martin, William",U.S. Navy,Boatswain's Mate
"Martin, William",U.S. Navy,Seaman
"Martini, Gary W.",U.S. Marine Corps,Private First Class
"Mason, Elihu H.",U.S. Army,Sergeant
"Mason, Leonard Foster",U.S. Marine Corps,Private First Class
"Mathews, William H.",U.S. Army,First Sergeant
"Mathias, Clarence Edward",U.S. Marine Corps,Private
"Matthews, David A.",U.S. Army,Corporal
"Matthews, John C.",U.S. Army,Corporal
"Matthews, Joseph",U.S. Navy,Captain of the Top
"Matthews, Milton",U.S. Army,Private
"Mattingly, Henry B.",U.S. Army,Private
"Mattocks, Charles P.",U.S. Army,Major
"Maus, Marion P.",U.S. Army,First Lieutenant
"Mausert, Frederick W. Iii",U.S. Marine Corps,Sergeant
"Maxam, Larry Leonard",U.S. Marine Corps,Corporal
"Maxham, Lowell M.",U.S. Army,Corporal
"Maxwell, John",U.S. Navy,Fireman Second Class
"May, John",U.S. Army,Sergeant
"May, William",U.S. Army,Private
"Mayberry, John B.",U.S. Army,Private
"Mayes, William B.",U.S. Army,Private
"Maynard, George H.",U.S. Army,Private
"Mays, Isaiah",U.S. Army,Corporal
"Mcadams, Peter",U.S. Army,Corporal
"Mcalwee, Benjmain F.",U.S. Army,Sergeant
"Mcanally, Charles",U.S. Army,Lieutenant
"Mcbride, Bernard",U.S. Army,Private
"Mcbryar, William",U.S. Army,Sergeant
"Mccabe, William",U.S. Army,Private
"Mccammon, William W.",U.S. Army,First Lieutenant
"Mccampbell, David",U.S. Navy,Commander
"Mccandless, Bruce",U.S. Navy,Commander
"Mccann, Bernard",U.S. Army,Private
"Mccard, Robert Howard",U.S. Marine Corps,Gunnery Sergeant
"Mccarren, Bernard",U.S. Army,Private
"Mccarthy, Joseph Jeremiah",U.S. Marine Corps,Captain
"Mccarthy, Michael",U.S. Army,First Sergeant
"Mccarton, John",U.S. Navy,Ship's Printer
"Mccauslin, Joseph",U.S. Army,Private
"Mccleary, Charles O.",U.S. Army,First Lieutenant
"Mccleery, Finnis D.",U.S. Army,Platoon Sergeant
"Mcclelland, James M.",U.S. Army,Private
"Mcclelland, Matthew",U.S. Navy,First Class Fireman
"Mcclernand, Edward J.",U.S. Army,Second Lieutenant
"Mccloy, John",U.S. Navy,Coxswain
"Mcconnell, Samuel",U.S. Army,Captain
"Mccool, Richard Miles",U.S. Navy,Lieutenant
"Mccormick, Michael",U.S. Army,Boatswain's Mate
"Mccormick, Michael",U.S. Army,Private
"Mccornack, Andrew",U.S. Army,Private
"Mccullock, Adam",U.S. Navy,Seaman
"Mcdonald, Franklin M.",U.S. Army,Private
"Mcdonald, George E.",U.S. Army,Private
"Mcdonald, James",U.S. Army,Corporal
"Mcdonald, James Harper",U.S. Navy,Chief Metalsmith
"Mcdonald, John",U.S. Navy,Boatswain's Mate
"Mcdonald, John Wade",U.S. Army,Private
"Mcdonald, Phill G.",U.S. Army,Private First Class
"Mcdonald, Robert",U.S. Army,First Lieutenant
"Mcelhinny, Samuel O.",U.S. Army,Private
"Mcenroe, Patrick H.",U.S. Army,Sergeant
"Mcfall, Daniel",U.S. Army,Sergeant
"Mcfarland, John",U.S. Army,Captain of the Forecastle
"Mcgann, Michael A.",U.S. Army,First Sergeant
"Mcgar, Owen",U.S. Army,Private
"Mcginn, Edward",U.S. Army,Private
"Mcgonagle, William L.",U.S. Navy,Captain
"Mcgonagle, Wilson",U.S. Army,Private
"Mcgonnigle, Andrew J.",U.S. Army,Captain/Ass. Quartermaster
"Mcgough, Owen",U.S. Army,Corporal
"Mcgowan, John",U.S. Navy,Quartermaster
"Mcgraw, Thomas",U.S. Army,Sergeant
"Mcguire, Patrick",U.S. Army,Private
"Mchale, Alexander U.",U.S. Army,Corporal
"Mchugh, John",U.S. Army,Private
"Mchugh, Martin",U.S. Navy,Seaman
"Mcintosh, James",U.S. Navy,Captain of the Top
"Mckay, Charles W.",U.S. Army,Sergeant
"Mckee, George",U.S. Army,Color Sergeant
"Mckeen, Nineveh S.",U.S. Army,First Lieutenant
"Mckeever, Michael",U.S. Army,Private
"Mckenzie, Alexander",U.S. Navy,Boatswain's Mate
"Mckibben, Ray",U.S. Army,Sergeant
"Mckinley, Daniel",U.S. Army,Private
"Mcknight, William",U.S. Navy,Coxswain
"Mckown, Nathaniel A.",U.S. Army,Sergeant
"Mclaughlin, Alford L.",U.S. Marine Corps,Private First Class
"Mclennon, John",U.S. Army,Musician
"Mcleod, James",U.S. Navy,Captain of the Top
"Mcloughlin, Michael",U.S. Army,Sergeant
"Mcmahon, Martin T.",U.S. Army,Captain/aide-de-camp
"Mcmahon, Thomas J.",U.S. Army,Specialist Fourth Class
"Mcmasters, Henry A.",U.S. Army,Corporal
"Mcmillen, Franics M.",U.S. Army,Sergeant
"Mcmillian, Albert W.",U.S. Army,Sergeant
"Mcnally, James",U.S. Army,First Sergeant
"Mcnally, Michael Joseph",U.S. Marine Corps,Sergeant
"Mcnamara, Michael",U.S. Marine Corps,Private
"Mcnamara, William",U.S. Army,First Sergeant
"Mcnerney, David H.",U.S. Army,First Sergeant
"Mcphelan, Robert",U.S. Army,Sergeant
"Mctureous, Robert Miller",U.S. Marine Corps,Private
"Mcveagh, Charles H.",U.S. Army,Private
"Mcveane, John P.",U.S. Army,Corporal
"Mcwethy, Edgar Lee,",U.S. Army,Specialist Fifth Class
"Mcwhorter, Walter F.",U.S. Army,Commissary Sergeant
"Mcwilliams, George W.",U.S. Navy,Landsman
"Meach, George E.",U.S. Army,Farrier
"Meagher, Thomas",U.S. Army,First Sergeant
"Meaher, Nicholas",U.S. Army,Corporal
"Mears, George W.",U.S. Army,Sergeant
"Mechlin, Henry W. B.",U.S. Army,Blacksmith
"Melville, Charles",U.S. Navy,Ordinary Seaman
"Menter, John W.",U.S. Army,Sergeant
"Meredith, James",U.S. Marine Corps,Private
"Merriam, Henry C.",U.S. Army,Lieutenant Colonel
"Merrifield, James K.",U.S. Army,Corporal
"Merrill, Augustus",U.S. Army,Captain
"Merrill, John",U.S. Army,Sergeant
"Merritt, John G.",U.S. Army,Sergeant
"Merton, James F.",U.S. Navy,Landsman
"Meyer, Henry C.",U.S. Army,Captain
"Meyer, William",U.S. Navy,Carpenter's Mate Third Class
"Michael, Don Leslie",U.S. Army,Specialist Fourth Class
"Mifflin, James",U.S. Navy,Engineer's Cook
"Mihalowski, John",U.S. Navy,Torpedoman First Class
"Miles, Nelson A.",U.S. Army,Colonel
"Miller, Andrew",U.S. Marine Corps,Sergeant
"Miller, Archie",U.S. Army,First Lieutenant
"Miller, Daniel H.",U.S. Army,Private
"Miller, Frank",U.S. Army,Private
"Miller, Franklin D.",U.S. Army,Staff Sergeant
"Miller, Gary L.",U.S. Army,First Lieutenant
"Miller, George",U.S. Army,Corporal
"Miller, George W.",U.S. Army,Private
"Miller, Harry Herbert",U.S. Navy,Seaman
"Miller, Henry A.",U.S. Army,Captain
"Miller, Hugh",U.S. Navy,Boatswain's Mate
"Miller, Jacob C.",U.S. Army,Private
"Miller, James",U.S. Navy,Quartermaster
"Miller, James P.",U.S. Army,Private
"Miller, John",U.S. Army,Corporal
"Miller, John",U.S. Army,Private
"Miller, Willard",U.S. Navy,Seaman
"Miller, William E.",U.S. Army,Captain
"Milliken, Daniel",U.S. Navy,Quarter Gunner
"Millmore, John",U.S. Navy,Ordinary Seaman
"Mills, Charles",U.S. Navy,Seaman
"Mills, Frank W.",U.S. Army,Sergeant
"Mindil, George W.",U.S. Army,Captain
"Minick, John W.",U.S. Army,Staff Sergeant
"Mitchell, Alexander H.",U.S. Army,First Lieutenant
"Mitchell, Frank N.",U.S. Marine Corps,First Lieutenant
"Mitchell, John",U.S. Army,First Sergeant
"Mitchell, John J.",U.S. Army,Corporal
"Mitchell, Joseph",U.S. Navy,Gunner's Mate First Class
"Mitchell, Theodore",U.S. Army,Private
"Mitchell, Thomas",U.S. Navy,Landsman
"Moffitt, John H.",U.S. Army,Corporal
"Molbone, Archibald",U.S. Army,Sergeant
"Molloy, Hugh",U.S. Navy,Ordinary Seaman
"Molnar, Frankie Zoly",U.S. Army,Staff Sergeant
"Monaghan, Patrick",U.S. Army,Corporal
"Monegan, Walter C.",U.S. Marine Corps,Private First Class
"Monroe, James H.",U.S. Army,Private First Class
"Montague, Daniel",U.S. Navy,Chief Master-at-Arms
"Montgomery, Robert",U.S. Navy,Captain of the Afterguard
"Montrose, Charles H.",U.S. Army,Private
"Moore, Albert",U.S. Marine Corps,Private
"Moore, Charles",U.S. Navy,Landsman
"Moore, Charles",U.S. Navy,Seaman
"Moore, Daniel B.",U.S. Army,Corporal
"Moore, Francis",U.S. Navy,Boatswain's Mate
"Moore, George",U.S. Navy,Seaman
"Moore, George G.",U.S. Army,Private
"Moore, Philip",U.S. Navy,Seaman
"Moore, Wilbur F.",U.S. Army,Private
"Moore, William",U.S. Navy,Boatswain's Mate
"Moquin, George",U.S. Army,Corporal
"Moran, John",U.S. Army,Private
"Moreland, Whitt L.",U.S. Marine Corps,Private First Class
"Morey, Delano",U.S. Army,Private
"Morford, Jerome",U.S. Army,Private
"Morgan, George H.",U.S. Army,Second Lieutenant
"Morgan, James H.",U.S. Navy,Captain of the Top
"Morgan, Lewis",U.S. Army,Private
"Morgan, Richard H.",U.S. Army,Corporal
"Morgan, William D.",U.S. Marine Corps,Corporal
"Moriarity, John",U.S. Army,Sergeant
"Morin, William H.",U.S. Navy,Boatswain's Mate Second Class
"Morrill, Walter G.",U.S. Army,Captain
"Morris, James L.",U.S. Army,First Sergeant
"Morris, John",U.S. Marine Corps,Corporal
"Morris, William",U.S. Army,Sergeant
"Morris, William W.",U.S. Army,Corporal
"Morrison, Francis",U.S. Army,Private
"Morrison, John G.",U.S. Navy,Coxswain
"Morse, Benjamin",U.S. Army,Private
"Morse, Charles E.",U.S. Army,Sergeant
"Morse, William",U.S. Navy,Seaman
"Morton, Charles W.",U.S. Navy,Boatswain's Mate
"Mosher, Louis C.",U.S. Army,Second Lieutenant
"Mostoller, John W.",U.S. Army,Private
"Moto, Kaoru",U.S. Army,Private First Class
"Mott, John",U.S. Army,Sergeant
"Moylan, Myles",U.S. Army,Captain
"Mulholland, St. Clair A.",U.S. Army,Major
"Mullen, Patrick",U.S. Navy,Boatswain's Mate
"Muller, Frederick",U.S. Navy,Mate
"Mullin, Hugh P.",U.S. Navy,Seaman
"Mundell, Walter L.",U.S. Army,Corporal
"Munro, Douglas Albert",U.S. Coast Guard,Signalman First Class
"Munsell, Harvey M.",U.S. Army,Sergeant
"Muranaga, Kiyoshi K.",U.S. Army,Private First Class
"Murphy, Charles J.",U.S. Army,First Lieutenant/Quartermaster
"Murphy, Daniel J.",U.S. Army,Sergeant
"Murphy, Dennis J. F.",U.S. Army,Sergeant
"Murphy, Edward",U.S. Army,Private
"Murphy, Edward F.",U.S. Army,Corporal
"Murphy, James T.",U.S. Army,Private
"Murphy, Jeremiah",U.S. Army,Private
"Murphy, John P.",U.S. Army,Private
"Murphy, John Edward",U.S. Navy,Coxswain
"Murphy, John Alphonsus",U.S. Marine Corps,Drummer
"Murphy, Michael C.",U.S. Army,Lieutenant Colonel
"Murphy, Patrick",U.S. Navy,Boatswain's Mate
"Murphy, Philip",U.S. Army,Corporal
"Murphy, Raymond G.",U.S. Marine Corps,Second Lieutenant
"Murphy, Robinson B.",U.S. Army,Musician
"Murphy, Thomas",U.S. Army,Corporal
"Murphy, Thomas C.",U.S. Army,Corporal
"Murphy, Thomas J.",U.S. Army,First Sergeant
"Murphy, Thomas",U.S. Army,Corporal
"Murray, Robert C.",U.S. Army,Staff Sergeant
"Murray, Thomas",U.S. Army,Sergeant
"Murray, William H.",U.S. Marine Corps,Private
"Myers, Fred",U.S. Army,Sergeant
"Myers, George S.",U.S. Army,Private
"Myers, Reginald R.",U.S. Marine Corps,Major
"Myers, William H.",U.S. Army,Private
"Nakae, Masato",U.S. Army,Private
"Nakamine, Shinyei",U.S. Army,Private
"Nakamura, William K.",U.S. Army,Private First Class
"Nannasaddie, N/A",U.S. Army,Scout
"Nantaje, N/A",U.S. Army,Scout
"Nash, David P.",U.S. Army,Private First Class
"Nash, James J.",U.S. Army,Private
"Naylor, David",U.S. Navy,Landsman
"Neahr, Zachariah C.",U.S. Army,Private
"Neal, Solon D.",U.S. Army,Private
"Neder, Adam",U.S. Army,Private
"Nee, George H.",U.S. Army,Private
"Neil, John",U.S. Navy,Quarter Gunner
"Neilon, Frederick S.",U.S. Army,Sergeant
"Nelson, Lauritz",U.S. Navy,Sailmaker's Mate
"Neville, Edwin M.",U.S. Army,Captain
"New, John Dury",U.S. Marine Corps,Private First Class
"Newland, William",U.S. Navy,Orderly Sergeant
"Newlin, Melvin Earl",U.S. Marine Corps,Private First Class
"Newman, Henry",U.S. Army,First Sergeant
"Newman, Marcellus J.",U.S. Army,Private
"Newman, William H.",U.S. Army,Lieutenant
"Nibbe, John H.",U.S. Navy,Quartermaster
"Nichols, Henry C.",U.S. Army,Captain
"Nichols, William",U.S. Navy,Quartermaster
"Nickerson, Henry Nehemiah",U.S. Navy,Boatswain's Mate Second Class
"Nihill, John",U.S. Army,Private
"Nishimoto, Joe M.",U.S. Army,Private First Class
"Nisperos, Jose B.",U.S. Army,Private
"Niven, Robert",U.S. Army,Second Lieutenant
"Noble, Daniel",U.S. Navy,Landsman
"Noil, Joseph B.",U.S. Navy,Seaman
"Nolan, John J.",U.S. Army,Sergeant
"Nolan, Richard J.",U.S. Army,Farrier
"Noll, Conrad",U.S. Army,Sergeant
"Noonan, Thomas P.",U.S. Marine Corps,Lance Corporal
"Norris, J. W.",U.S. Navy,Landsman
"North, Jasper N.",U.S. Army,Private
"Norton, Elliot M.",U.S. Army,Second Lieutenant
"Norton, John R.",U.S. Army,Lieutenant
"Norton, Llewellyn P.",U.S. Army,Sergeant
"Novosel, Michael J.",U.S. Army,Chief Warrant Officer
"Noyes, William W.",U.S. Army,Private
"Nugent, Christopher",U.S. Marine Corps,Orderly Sergeant
"Nutting, Lee",U.S. Army,Captain
"O'Beirne, James R.",U.S. Army,Captain
"O'Brien, George H.",U.S. Marine Corps,Second Lieutenant
"O'Brien, Henry D.",U.S. Army,Corporal
"O'Brien, Oliver",U.S. Navy,Coxswain
"O'Brien, Peter",U.S. Army,Private
"O'Callaghan, John",U.S. Army,Sergeant
"O'Callahan, Joseph Timothy",U.S. Navy,Commander
"O'Connell, Thomas",U.S. Navy,Coal Heaver
"O'Conner, James F.",U.S. Navy,Landsman
"O'Connor, Albert",U.S. Army,Sergeant
"O'Connor, Timothy",U.S. Army,Private
"O'Dea, John",U.S. Army,Private
"O'Donnell, Menomen",U.S. Army,First Lieutenant
"O'Donoghue, Timothy",U.S. Navy,Seaman
"O'Hare, Edward Henry",U.S. Navy,Lieutenant
"O'Kane, Richard Hetherington",U.S. Navy,Commander
"O'Neal, John",U.S. Navy,Boatswain's Mate
"O'Neill, Stephen",U.S. Army,Corporal
"O'Neill, William",U.S. Army,Corporal
"O'Regan, Michael",U.S. Army,Private
"O'Sullivan, John",U.S. Army,Private
"Oakley, William",U.S. Navy,Gunner's Mate Second Class
"Obregon, Eugene Arnold",U.S. Marine Corps,Private First Class
"Ohata, Allan M.",U.S. Army,Sergeant
"Ohmsen, August",U.S. Navy,Master-at-Arms
"Okubo, James K.",U.S. Army,Technician Fifth Grade
"Okutsu, Yukio",U.S. Army,Technical Sergeant
"Oliver, Charles",U.S. Army,Sergeant
"Oliver, Francis",U.S. Army,First Sergeant
"Oliver, Paul A.",U.S. Army,Captain
"Olsen, Anton",U.S. Navy,Ordinary Seaman
"Olson, Kenneth L.",U.S. Army,Specialist Fourth Class
"Ono, Frank H.",U.S. Army,Private First Class
"Opel, John N.",U.S. Army,Private
"Orbansky, David",U.S. Army,Private
"Orndoff, Harry Westley",U.S. Marine Corps,Private
"Orr, Charles A.",U.S. Army,Private
"Orr, Moses",U.S. Army,Private
"Orr, Robert L.",U.S. Army,Major
"Ortega, John",U.S. Navy,Seaman
"Orth, Jacob G.",U.S. Army,Corporal
"Osborne, John",U.S. Navy,Seaman
"Osborne, Weedon E.",U.S. Navy,"Lieutenant, Junior Grade"
"Osborne, William H.",U.S. Army,Private
"Osborne, William",U.S. Army,Sergeant
"Osepins, Christian",U.S. Navy,Seaman
"Oss, Albert",U.S. Army,Private
"Ostermann, Edward Albert",U.S. Marine Corps,First Lieutenant
"Otani, Kazuo",U.S. Army,Staff Sergeant
"Ouellet, David G.",U.S. Navy,Seaman
"Overturf, Jacob H.",U.S. Army,Private
"Oviatt, Miles M.",U.S. Marine Corps,Corporal
"Owens, Michael",U.S. Marine Corps,Private
"Owens, Robert Allen",U.S. Marine Corps,Sergeant
"Ozbourn, Joseph William",U.S. Marine Corps,Private
"Packard, Loron F.",U.S. Army,Private
"Paige, Mitchell",U.S. Marine Corps,Platoon Sergeant
"Paine, Adam",U.S. Army,Private
"Palmer, George H.",U.S. Army,Musician
"Palmer, John G.",U.S. Army,Corporal
"Palmer, William J.",U.S. Army,Colonel
"Parker, Alexander",U.S. Navy,Boatswain's Mate
"Parker, Pomeroy",U.S. Marine Corps,Private
"Parker, Thomas",U.S. Army,Corporal
"Parker, William",U.S. Navy,Captain of the Afterguard
"Parks, George",U.S. Navy,Captain of the Forecastle
"Parks, Henry Jeremiah",U.S. Army,Private
"Parks, James W.",U.S. Army,Corporal
"Parle, John Joseph",U.S. Navy,Ensign
"Parnell, William R.",U.S. Army,First Lieutenant
"Parsons, Joel",U.S. Army,Private
"Patterson, John H.",U.S. Army,First Lieutenant
"Patterson, John T.",U.S. Army,Principal Musician
"Paul, Joe C.",U.S. Marine Corps,Lance Corporal
"Paul, William H.",U.S. Army,Private
"Pay, Byron E.",U.S. Army,Private
"Payne, Irvin C.",U.S. Army,Corporal
"Payne, Isaac",U.S. Army,Trumpeter
"Payne, Thomas H. L.",U.S. Army,First Lieutenant
"Pearsall, Platt",U.S. Army,Corporal
"Pearson, Alfred L.",U.S. Army,Colonel
"Pease, Joachim",U.S. Navy,Seaman
"Peck, Cassius",U.S. Army,Private
"Peck, Oscar E.",U.S. Navy,Second Class Boy
"Peck, Theodore S.",U.S. Army,First Lieutenant
"Peirsol, James K.",U.S. Army,Sergeant
"Pelham, William",U.S. Navy,Landsman
"Pendleton, Charles F.",U.S. Army,Corporal
"Pengally, Edward",U.S. Army,Private
"Penn, Robert",U.S. Navy,Fireman First Class
"Pennsyl, Josiah",U.S. Army,Sergeant
"Pennypacker, Galusha",U.S. Army,Colonel
"Penry, Richard A.",U.S. Army,Sergeant
"Pentzer, Patrick H.",U.S. Army,Captain
"Perkins, William Thomas",U.S. Marine Corps,Corporal
"Perry, Thomas",U.S. Navy,Boatswain's Mate
"Pesch, Joseph",U.S. Army,Private
"Peters, Lawrence David",U.S. Marine Corps,Sergeant
"Petersen, Carl Emil",U.S. Navy,Chief Machinist
"Petersen, Danny J.",U.S. Army,Specialist Fourth Class
"Peterson, Alfred",U.S. Navy,Seaman
"Peterson, Oscar Verner",U.S. Navy,Chief Watertender
"Petty, Orlando Henderson",U.S. Navy,Lieutenant
"Petty, Philip",U.S. Army,Sergeant
"Pfisterer, Herman",U.S. Army,Musician
"Pharris, Jackson Charles",U.S. Navy,Lieutenant
"Phelps, Charles E.",U.S. Army,Colonel
"Phelps, Wesley",U.S. Marine Corps,Private
"Phife, Lewis",U.S. Army,Sergeant
"Philipsen, Wilhelm O.",U.S. Army,Blacksmith
"Phillips, George F.",U.S. Navy,Machinist First Class
"Phillips, George",U.S. Marine Corps,Private
"Phillips, Josiah",U.S. Army,Private
"Phillips, Lee H.",U.S. Marine Corps,Corporal
"Phillips, Reuben Jasper",U.S. Marine Corps,Corporal
"Phillips, Samuel D.",U.S. Army,Private
"Phinney, William",U.S. Navy,Boatswain's Mate
"Phipps, Jimmy W.",U.S. Marine Corps,Private First Class
"Phisterer, Frederick",U.S. Army,First Lieutenant
"Phoenix, Edwin",U.S. Army,Corporal
"Pickle, Alonzo H.",U.S. Army,Sergeant
"Pierce, Francis Junior",U.S. Navy,Pharmacist's Mate First Class
"Pike, Edward M.",U.S. Army,First Sergeant
"Pile, Richard",U.S. Navy,Ordinary Seaman
"Pingree, Samuel E.",U.S. Army,Captain
"Pinkham, Charles H.",U.S. Army,Sergeant Major
"Pinn, Robert",U.S. Army,First Sergeant
"Pipes, James",U.S. Army,Captain
"Pitman, George J.",U.S. Army,Sergeant
"Pittinger, William",U.S. Army,Sergeant
"Pitts, Riley L.",U.S. Army,Captain
"Plant, Henry E.",U.S. Army,Corporal
"Platt, George C.",U.S. Army,Private
"Platten, Frederick",U.S. Army,Sergeant
"Pless, Stephen W.",U.S. Marine Corps,Major
"Plimley, William",U.S. Army,First Lieutenant
"Plowman, George H.",U.S. Army,Sergeant Major
"Plunkett, Thomas",U.S. Army,Sergeant
"Polond, Alfred",U.S. Army,Private
"Pond, George F.",U.S. Army,Private
"Pond, James B.",U.S. Army,First Lieutenant
"Poole, William B.",U.S. Navy,Quartermaster
"Pope, Everett Parker",U.S. Marine Corps,Captain
"Poppe, John A.",U.S. Army,Sergeant
"Port, William D.",U.S. Army,Sergeant
"Porter, David Dixon",U.S. Marine Corps,Colonel
"Porter, John R.",U.S. Army,Private
"Porter, Samuel",U.S. Army,Farrier
"Porter, William",U.S. Army,Sergeant
"Post, Philip Sidney",U.S. Army,Colonel
"Postles, James Parke",U.S. Army,Captain
"Potter, George W.",U.S. Army,Private
"Potter, Norman F.",U.S. Army,First Sergeant
"Powell, William H.",U.S. Army,Major
"Power, Albert",U.S. Army,Private
"Power, John Vincent",U.S. Marine Corps,First Lieutenant
"Powers, John James",U.S. Navy,Lieutenant
"Powers, Thomas",U.S. Army,Corporal
"Powers, Wesley J.",U.S. Army,Corporal
"Poxon, Robert Leslie",U.S. Army,First Lieutenant
"Poynter, James I.",U.S. Marine Corps,Sergeant
"Prance, George",U.S. Navy,Captain of the Main Top
"Pratt, James",U.S. Army,Blacksmith
"Prendergast, Thomas Francis",U.S. Marine Corps,Corporal
"Prentice, Joseph R.",U.S. Army,Private
"Preston, Arthur Murray",U.S. Navy,Lieutenant
"Preston, Herbert Irving",U.S. Marine Corps,Private
"Preston, John",U.S. Army,Landsman
"Preston, Noble D.",U.S. Army,First Lieutenant/Commissary
"Price, Edward",U.S. Navy,Coxswain
"Prom, William R.",U.S. Marine Corps,Lance Corporal
"Province, George",U.S. Navy,Ordinary Seaman
"Pruden, Robert J.",U.S. Army,Staff Sergeant
"Purcell, Hiram W.",U.S. Army,Sergeant
"Purman, James J.",U.S. Army,Lieutenant
"Purvis, Hugh",U.S. Marine Corps,Private
"Putnam, Edgar P.",U.S. Army,Sergeant
"Putnam, Winthrop D.",U.S. Army,Corporal
"Pym, James",U.S. Army,Private
"Pyne, George",U.S. Navy,Seaman
"Quay, Matthew S.",U.S. Army,Colonel
"Quick, John Henry",U.S. Marine Corps,Sergeant
"Quinlan, James",U.S. Army,Major
"Quinn, Alexander M.",U.S. Army,Sergeant
"Rabel, Laszlo",U.S. Army,Staff Sergeant
"Raerick, John",U.S. Army,Private
"Rafferty, Peter",U.S. Army,Private
"Ragnar, Theodore",U.S. Army,First Sergeant
"Ramage, Lawson Paterson",U.S. Navy,Commander
"Ramer, George H.",U.S. Marine Corps,Second Lieutenant
"Rand, Charles F.",U.S. Army,Private
"Rankin, William",U.S. Army,Private
"Rannahan, John",U.S. Marine Corps,Corporal
"Ranney, George E.",U.S. Army,Assistant Surgeon
"Ranney, Myron H.",U.S. Army,Private
"Ransbottom, Alfred",U.S. Army,First Sergeant
"Ratcliff, Edward",U.S. Army,First Sergeant
"Raub, Jacob F.",U.S. Army,Assistant Surgeon
"Ray, David Robert",U.S. Navy,Hospital Corpsman Second Class
"Raymond, William H.",U.S. Army,Corporal
"Read, Charles",U.S. Navy,Ordinary Seaman
"Read, Charles A.",U.S. Navy,Coxswain
"Read, George E.",U.S. Navy,Seaman
"Read, Morton A.",U.S. Army,Lieutenant
"Reasoner, Frank S.",U.S. Marine Corps,First Lieutenant
"Rebmann, George F.",U.S. Army,Sergeant
"Reddick, William H.",U.S. Army,Corporal
"Reed, Axel H.",U.S. Army,Sergeant
"Reed, Charles W.",U.S. Army,Bugler
"Reed, George W.",U.S. Army,Private
"Reed, James C.",U.S. Army,Private
"Reed, William",U.S. Army,Private
"Reeder, Charles A.",U.S. Army,Private
"Reem, Robert Dale",U.S. Marine Corps,Second Lieutenant
"Reeves, Thomas James",U.S. Navy,Radio Electrician (Warrant Officer)
"Regan, Jeremiah",U.S. Navy,Quartermaster
"Regan, Patrick",U.S. Navy,Ordinary Seaman
"Reid, Robert",U.S. Army,Private
"Reigle, Daniel P.",U.S. Army,Corporal
"Renninger, Louis",U.S. Army,Corporal
"Ressler, Norman W.",U.S. Army,Corporal
"Reynolds, George",U.S. Army,Private
"Rhodes, Julius D.",U.S. Army,Private
"Rhodes, Sylvester D.",U.S. Army,Sergeant
"Rice, Charles",U.S. Navy,Coal Heaver
"Rice, Edmund",U.S. Army,Major
"Rich, Carlos H.",U.S. Army,First Sergeant
"Richards, Louis",U.S. Navy,Quartermaster
"Richardson, William R.",U.S. Army,Private
"Richey, William E.",U.S. Army,Corporal
"Richman, Samuel",U.S. Army,Private
"Richmond, James",U.S. Army,Private
"Ricketts, Milton Ernest",U.S. Navy,Lieutenant
"Ricksecker, John H.",U.S. Army,Private
"Riddell, Rudolph",U.S. Army,Lieutenant
"Riley, Thomas",U.S. Army,Private
"Rilley, John Phillip",U.S. Navy,Landsman
"Ringold, Edward",U.S. Navy,Coxswain
